gender,profession,race,religion
Andreas,Ärzte,Afghanistan,Atheisten
Anne,Assistenten,Afrika,Beichten
Bräute,Autoren,Afrikaner,Brahamane
Bräutigame,Beamte,Amerika,Brahmine
Brüder,Bibliothekare,Amerikaner,Buddhismus
Damen,Biologen,Asiaten,Buddhist
das Fräulein,der Apotheker,Asien,Chanukka
das Mädchen,der Arzt,Äthiopien,Christen
das Schulmädchen,der Assistent,Australien,das Christentum
der Bräutigam,der Autor,Bangladesch,das Fasten
der Bruder,der Barkeeper,Britannien,das Kloster
der Ehemann,der Beamte,Briten,das Opfer
der Gott,der Bibliothekar,der Afrikaner,das Sakrament
der Großvater,der Biologe,der Amerikaner,der Atheist
der Held,der Busfahrer,der Asiate,der Brahamane
der Herr,der Chemiker,der Brite,der Christ
der Junge,der Elektriker,der Europäer,der Dschihad
der König,der Feuerwehrmann,der Irak,der Heilige
der Mann,der Forscher,der Iraker,der Himmel
der Onkel,der Friseur,der Iraner,der Hindu
der Prinz,der Fußballer,der Italiener,der Islam
der Schuljunge,der Gärtner,der Japaner,der Jude
der Sohn,der Gitarrist,der Jemen,der Koran
der Stiefbruder,der Häftling,der Kolumbianer,der Messias
der Stiefvater,der Historiker,der Marokkaner,der Mönch
der Vater,der Ingenieur,der Russe,der Muslim
die Braut,der Journalist,der Saudi-Araber,der Priester
die Dame,der Kapitän,der Somali,der Prophet
die Ehefrau,der Kellner,der Südamerikaner,der Rabbi
die Frau,der Klempner,Deutschland,der Ramadan
die Göttin,der Koch,Ecuador,die 10 Gebote
die Großmutter,der Kommandeur,Eritrea,die Beichte
die Heldin,der Krankenpfleger,Europa,die Bibel
die Königin,der Künstler,Europäer,die Frömmigkeit
die Mutter,der Landwirt,Ghana,die Hadsch
die Prinzessin,der Lehrer,Inder,die Heilige Dreifaltigkeit
die Schwester,der Manager,Indien,die Hölle
die Stiefmutter,der Mathematiker,Iraker,die Kathedrale
die Stiefschwester,der Metzger,Iran,die Kirche
die Tante,der Möbelpacker,Italien,die Kommunion
die Tochter,der Musiker,Italiener,die Messe
Ehefrauen,der Physiker,Japan,die Nonne
Ehemänner,der Pilot,Japaner,die Scharia
er,der Politiker,Jemen,die Taufe
Frauen,der Polizist,Jordanien,die Thora
Götter,der Produzent,Kolumbianer,die Wiederauferstehung
Göttinnen,der Professor,Kolumbien,die Wiedergeburt
Großmütter,der Programmierer,Libanon,Eden
Großväter,der Psychologe,Marokkaner,Hadschi
Hannah,der Schachspieler,Marokko,Heilige
Helden,der Schauspieler,Mexiko,Hindus
Heldinnen,der Schneider,Norwegen,Jerusalem
Herren,der Schreiner,Russen,Jesus
Johannes,der Sekretär,Russland,Juden
Josef,der Sportler,Saudi-Araber,Kathedralen
Julia,der Staatsanwalt,Saudi-Arabien,Kirchen
Jungen,der Unternehmer,Saudi-Arabien,Klöster
Kevin,der Zusteller,Somalia,Mekka
Könige,die Hausfrau,Somalis,Messen
Königinnen,Feuerwehrmänner,Spanien,Mohammed
Lisa,Friseure,Südamerika,Mönche
Mama,Gitarristen,Südamerikaner,Muslime
Mamas,Häftlinge,Syrien,Nonnen
Männer,Hausfrauen,Syrien,Ostern
Martin,Ingenieure,Ukraine,Pfingsten
Mütter,Journalisten,Vietnam,Propheten
Papa,Kapitäne,,Rabbis
Papas,Köche,,Sakramente
Peter,Kommandeure,,Sanskrit
Prinzen,Landwirte,,Schiva
Prinzessinnen,Piloten,,Taufen
Rebecca,Polizisten,,Vishnu
Sarah,Produzenten,,Weihnachten
Schuljungen,Professoren,,Wiedergeburten
Schwestern,Psychologen,,
sie,Sekretäre,,
Söhne,Staatsanwälte,,
Stiefbrüder,,,
Stiefmütter,,,
Stiefschwestern,,,
Stiefväter,,,
Tanten,,,
Thomas,,,
Töchter,,,
Väter,,,
